code;instant;source;description;target
7323;2016-06-10 00:00:00.000;L52310028T;"4K TRADING ALBANIA - TIRANE - ";
7324;2016-06-13 00:00:00.000;L52310028T;"4K TRADING ALBANIA - TIRANE - ";
7325;2016-06-13 00:00:00.000;K26330201T;"NISATEL SHPK - VLORE - ";
7354;2016-06-09 00:00:00.000;K36503231E;"EUROLAB INTERNATIONAL GROUP - TIRANE - ";
7355;2016-06-18 00:00:00.000;L02205042V;"GLOBAL NET SHPK - TIRANE - ";
7356;2016-06-22 00:00:00.000;L02205042V;"GLOBAL NET SHPK - TIRANE - ";
6782;2015-12-30 00:00:00.000;K01711004F;"ABC NEWS SHA - TIRANE - ";
6783;2015-12-31 00:00:00.000;K77219205A;"ELDO 07 - VLORE - ";
6822;2016-01-21 00:00:00.000;K91622016U;"EPPC PARTNERS COSULTANAY - TIRANE - ";
6823;2016-01-31 00:00:00.000;K77219205A;"ELDO 07 - VLORE - ";
6824;2016-01-20 00:00:00.000;L52323039H;"ALTIN ZEFI - TIRANE - ";
6825;2016-01-21 00:00:00.000;L52323039H;"ALTIN ZEFI - TIRANE - ";
6826;2016-01-22 00:00:00.000;L52323039H;"ALTIN ZEFI - TIRANE - ";
6827;2016-01-31 00:00:00.000;K83410201O;"BAHITI G SHPK - ELBASAN - ";
6845;2015-12-01 00:00:00.000;K71822801C;"DIMAPAK SHPK - TIRANE - ";
6846;2015-12-01 00:00:00.000;J62426002Q;"INFOSOFT OFFICE SHPK - TIRANE - ";
6867;2016-02-29 00:00:00.000;;"SAMSUNG ELECTRONICS POLAND MANUFACT - POLONI - ";M1
6868;2015-12-01 00:00:00.000;K71822801C;"DIMAPAK SHPK - TIRANE - ";
6869;2015-12-01 00:00:00.000;K71822801C;"DIMAPAK SHPK - TIRANE - ";
6870;2015-12-01 00:00:00.000;K71822801C;"DIMAPAK SHPK - TIRANE - ";
6871;2015-12-01 00:00:00.000;K71822801C;"DIMAPAK SHPK - TIRANE - ";
6872;2015-12-01 00:00:00.000;K71822801C;"DIMAPAK SHPK - TIRANE - ";
6873;2015-12-01 00:00:00.000;J62426002Q;"INFOSOFT OFFICE SHPK - TIRANE - ";
6874;2015-12-01 00:00:00.000;J62426002Q;"INFOSOFT OFFICE SHPK - TIRANE - ";
6875;2015-12-01 00:00:00.000;J62426002Q;"INFOSOFT OFFICE SHPK - TIRANE - ";
6876;2015-12-01 00:00:00.000;J62426002Q;"INFOSOFT OFFICE SHPK - TIRANE - ";
6877;2015-12-01 00:00:00.000;J62426002Q;"INFOSOFT OFFICE SHPK - TIRANE - ";
6878;2015-12-01 00:00:00.000;J62426002Q;"INFOSOFT OFFICE SHPK - TIRANE - ";
6879;2015-12-01 00:00:00.000;J62426002Q;"INFOSOFT OFFICE SHPK - TIRANE - ";
6784;2016-01-17 00:00:00.000;;"ELTRONIC S.R.L (DCG) -  - ";M1
6785;2016-01-17 00:00:00.000;;"TWENTY SRL - ITALI - ";M1
6786;2016-01-17 00:00:00.000;;"SGM DISTRIBUZIONE SRL - FORLI ITALI - ";M1
6787;2016-01-01 00:00:00.000;K52926201M;"SITEL ALBANIA SHPK - ELBASAN - ";M1
6788;2016-01-01 00:00:00.000;K52926201M;"SITEL ALBANIA SHPK - ELBASAN - ";M1
6789;2016-01-07 00:00:00.000;L22126015N;"JUR & CHRIS SHPK - TIRANE ,VORE - ";M1
6790;2016-01-08 00:00:00.000;K52926201M;"SITEL ALBANIA SHPK - ELBASAN - ";M1
6791;2016-01-18 00:00:00.000;K52926201M;"SITEL ALBANIA SHPK - ELBASAN - ";M1
6792;2016-01-18 00:00:00.000;K72217008P;"SALI ELEKTRIK - TIRANE - ";M1
6793;2016-01-18 00:00:00.000;J61820049L;"ITD SHPK - TIRANE - ";M1
6794;2016-01-21 00:00:00.000;J61820049L;"ITD SHPK - TIRANE - ";M1
6795;2016-01-21 00:00:00.000;J61820049L;"ITD SHPK - TIRANE - ";M1
6796;2016-01-21 00:00:00.000;J61820049L;"ITD SHPK - TIRANE - ";M1
6798;2016-01-30 00:00:00.000;;"SI EL SRL - ITALI - ";M1
6811;2016-02-02 00:00:00.000;;"SAMSUNG ELECTRONICS POLAND MANUFACT - POLONI - ";M1
6812;2016-01-28 00:00:00.000;K52926201M;"SITEL ALBANIA SHPK - ELBASAN - ";M1
6833;2016-02-04 00:00:00.000;;"SAMSUNG ELECTRONICS POLAND MANUFACT - POLONI - ";M1
6834;2016-02-04 00:00:00.000;;"SAMSUNG ELECTRONICS POLAND MANUFACT - POLONI - ";M1
6837;2016-02-05 00:00:00.000;;"SAMSUNG ELECTRONICS POLAND MANUFACT - POLONI - ";M1
6838;2016-02-05 00:00:00.000;;"SUNNY ATAMACA ELEKTRONI K SAN VE TIC - TURQI - ";M1
6839;2016-02-05 00:00:00.000;;"TREVI SPA - ITALI - ";M1
6840;2016-02-05 00:00:00.000;;"TWENTY SRL - ITALI - ";M1
6841;2016-02-05 00:00:00.000;;"TREVIDEA SRL - ITALI - ";M1
6799;2016-01-01 00:00:00.000;L21822005F;"CREATIVE SHPK - TIRANE - ";
6800;2016-01-01 00:00:00.000;K62303017P;"FIT MEK OIL  SH.A - TIRANE - ";M1
6801;2016-01-01 00:00:00.000;K31531608J;"RUSLLANE BEBO - DURRES - ";
6802;2016-01-02 00:00:00.000;K11715005L;"VODAFONE ALBANIA SHA - TIRANE - ";
6803;2016-01-11 00:00:00.000;K71520008O;"C.A.A SHPK -  - ";
6804;2016-01-14 00:00:00.000;K4161418O;"CELESI DESIGN&PUBLICITET - TIRANE - ";
6805;2016-01-16 00:00:00.000;L16628202D;"EXCELLENT TIRES - VLORE - ";
6806;2016-01-18 00:00:00.000;J66703216P;"TRIS VLORA - TIRANE - ";
6807;2016-01-25 00:00:00.000;K26307202E;"AULONA POL 1 SHPK - VLORE - ";
6808;2016-01-28 00:00:00.000;K26330201T;"NISATEL SHPK - VLORE - ";
6809;2016-01-31 00:00:00.000;K86505205H;"VIRON XHAFERI - VLORE - ";
6810;2016-01-30 00:00:00.000;L37222206U;"ERJON JAUPI - VLORE - ";
6828;2016-01-01 00:00:00.000;K32712210C;"KUMRIA 1 - ELBASAN - ";
6829;2016-01-05 00:00:00.000;K32801208H;"BRILANT KANCELARI - ELBASAN - ";
6830;2016-01-05 00:00:00.000;J62903255K;"KREKA SHPK - ELBASAN - ";
6831;2016-01-05 00:00:00.000;K11308001B;"ABCOM - TIRANE - ";
6832;2016-01-15 00:00:00.000;J62903255K;"KREKA SHPK - ELBASAN - ";
6835;2016-01-19 00:00:00.000;K31624163S;"JONA TRAVEL & TOURS - TIRANE - ";
6836;2016-01-26 00:00:00.000;J97426201K;"FJORTES.shpk - VLORE - ";M1
6842;2016-02-05 00:00:00.000;;"SI EL SRL - ITALI - ";M1
6843;2016-02-05 00:00:00.000;;"ALEAMA S.R.L - ITALI - ";M1
6844;2016-02-05 00:00:00.000;;"DISTANTE ELETTRODOMESTICI S.r.l - ITALI, 72623,Mesagne Brindisi - ";M1
6847;2016-02-02 00:00:00.000;L36713201R;"EURO FRIGO 2013 - VLORE,NOVOSELE - ";M1
6848;2016-02-10 00:00:00.000;;"OCEAN OVERSEAS   VESTEL TICARET - TURQI - ";M1
6849;2016-02-02 00:00:00.000;J61820049L;"ITD SHPK - TIRANE - ";M1
6850;2016-02-13 00:00:00.000;;"SI EL SRL - ITALI - ";M1
6851;2016-02-13 00:00:00.000;;"TWENTY SRL - ITALI - ";M1
6852;2016-02-13 00:00:00.000;;"SGM DISTRIBUZIONE SRL - FORLI ITALI - ";M1
6853;2016-02-13 00:00:00.000;;"TREVI SPA - ITALI - ";M1
6854;2016-02-15 00:00:00.000;;"SAMSUNG ELECTRONICS POLAND MANUFACT - POLONI - ";M1
6855;2016-02-15 00:00:00.000;;"TERMIKEL DIS TICARET A.S - TURQI - ";M1
6880;2015-12-15 00:00:00.000;J62426002Q;"INFOSOFT OFFICE SHPK - TIRANE - ";
6881;2015-12-16 00:00:00.000;J62426002Q;"INFOSOFT OFFICE SHPK - TIRANE - ";
6882;2015-12-21 00:00:00.000;J62426002Q;"INFOSOFT OFFICE SHPK - TIRANE - ";
6883;2016-03-01 00:00:00.000;J61820049L;"ITD SHPK - TIRANE - ";M1
6885;2015-12-23 00:00:00.000;J62426002Q;"INFOSOFT OFFICE SHPK - TIRANE - ";
6887;2015-12-01 00:00:00.000;J62426002Q;"INFOSOFT OFFICE SHPK - TIRANE - ";
6888;2015-12-01 00:00:00.000;J62426002Q;"INFOSOFT OFFICE SHPK - TIRANE - ";
6889;2015-12-01 00:00:00.000;J62426002Q;"INFOSOFT OFFICE SHPK - TIRANE - ";
6890;2015-12-01 00:00:00.000;J62426002Q;"INFOSOFT OFFICE SHPK - TIRANE - ";
6891;2015-12-01 00:00:00.000;J62426002Q;"INFOSOFT OFFICE SHPK - TIRANE - ";
6892;2015-12-01 00:00:00.000;J62426002Q;"INFOSOFT OFFICE SHPK - TIRANE - ";
6893;2015-12-01 00:00:00.000;J62426002Q;"INFOSOFT OFFICE SHPK - TIRANE - ";
6894;2015-12-01 00:00:00.000;J62426002Q;"INFOSOFT OFFICE SHPK - TIRANE - ";
6895;2015-12-01 00:00:00.000;J62426002Q;"INFOSOFT OFFICE SHPK - TIRANE - ";
7450;2016-07-01 00:00:00.000;K11715005L;"VODAFONE ALBANIA SHA - TIRANE - ";
7451;2016-07-02 00:00:00.000;L12510401V;"BAJRAKTARI CONSTRUCTION SHPK - FIER - ";
7452;2016-07-06 00:00:00.000;J92211003P;"DAJTI KONSTRUKSION - TIRANE - ";
7453;2016-07-07 00:00:00.000;L52310028T;"4 K TRADING ALBANIA - TIRANE - ";
7454;2016-07-07 00:00:00.000;K71822801C;"DIMAPAK - TIRANE - ";
7455;2016-07-06 00:00:00.000;K92922201T;"SITEL MOBILE SHPK - ELBASAN - ";M1
7456;2016-07-08 00:00:00.000;K36608208V;"COLOMBO - VLORE - ";
7457;2016-07-08 00:00:00.000;L16915205R;"TODI VIDHAJ - VLORE - ";
7458;2016-07-09 00:00:00.000;L37222206U;"ERJON JAUPI - VLORE - ";
7459;2016-07-28 00:00:00.000;;"SAMSUNG ELECTRONICS POLAND MANUFACT - POLONI - ";M1
7460;2016-07-11 00:00:00.000;K26330201T;"NISATEL SHPK - VLORE - ";
7461;2016-07-11 00:00:00.000;J66703216P;"TRIS VLORA - TIRANE - ";
7462;2016-07-12 00:00:00.000;K01711004F;"ABC NEWS SHA - TIRANE - ";
7463;2016-07-12 00:00:00.000;K32627418M;"KRASNIQI SA - FIER - ";
7464;2016-07-13 00:00:00.000;K32627418M;"KRASNIQI SA - FIER - ";
7465;2016-07-14 00:00:00.000;L52310028T;"4 K TRADING ALBANIA - TIRANE - ";
7466;2016-07-14 00:00:00.000;J66703216P;"TRIS VLORA - TIRANE - ";
7467;2016-07-14 00:00:00.000;K32627418M;"KRASNIQI SA - FIER - ";
7468;2016-07-15 00:00:00.000;L04820001N;"DAISY & ETM  PAJISJE FISKALE - KORCE - ";
7469;2016-07-16 00:00:00.000;L37222206U;"ERJON JAUPI - VLORE - ";
7470;2016-07-29 00:00:00.000;;"SAMSUNG ELECTRONICS POLAND MANUFACT - POLONI - ";M1
7480;2016-07-23 00:00:00.000;L37222206U;"ERJON JAUPI - VLORE - ";
7471;2016-07-16 00:00:00.000;L36411204A;"ARTAN BRAHIMAJ - VLORE - ";
7472;2016-07-18 00:00:00.000;J66703216P;"TRIS VLORA - TIRANE - ";
7473;2016-07-18 00:00:00.000;K32627418M;"KRASNIQI SA - FIER - ";
7474;2016-07-19 00:00:00.000;J92305001S;"LINDA SHPK - TIRANE - ";
7497;2016-08-03 00:00:00.000;GB11923472;"GPSG - TURQI - ";M1
7476;2016-07-21 00:00:00.000;L46419209L;"ELTON LILAJ - VLORE - ";
7477;2016-07-21 00:00:00.000;K31418036C;"INFOSOFT SD SHPK  FINANCA 5 - TIRANE - ";
7478;2016-07-21 00:00:00.000;K31418036C;"INFOSOFT SD SHPK  FINANCA 5 - TIRANE - ";
7479;2016-07-22 00:00:00.000;K32627418M;"KRASNIQI SA - FIER - ";
7481;2016-07-24 00:00:00.000;L37222206U;"ERJON JAUPI - VLORE - ";
7482;2016-07-25 00:00:00.000;K31915018E;"A&A SEKURITU SERVEY - TIRANE - ";
7483;2016-07-26 00:00:00.000;K32627418M;"KRASNIQI SA - FIER - ";
7484;2016-07-28 00:00:00.000;K32627418M;"KRASNIQI SA - FIER - ";
7485;2016-07-28 00:00:00.000;K32627418M;"KRASNIQI SA - FIER - ";
7498;2016-08-03 00:00:00.000;K92922201T;"SITEL MOBILE SHPK - ELBASAN - ";M1
7531;2016-08-08 00:00:00.000;;"SMEG - 42016 GUASTELLA RE - ";M1
7532;2016-08-08 00:00:00.000;;"FISHER&PAYKEL, DE LONGHI - VIA FABBIAN MATTEO,7 - ";M1
7533;2016-08-08 00:00:00.000;;"SI EL SRL - ITALI - ";M1
7534;2016-08-08 00:00:00.000;;"HISENSE ITALIA SRL - ITALI - ";M1
7540;2016-08-10 00:00:00.000;;"NAVONI DAYANIKLI (ARDA ORNER) - TURQI - ";M1
7541;2016-08-10 00:00:00.000;;"ATMACA ELEKTRONIK SAN VE TIC - TURQI - ";M1
7542;2016-08-10 00:00:00.000;;"SALVO IC VE DIS TIC MUH MUM TERC - TURQI - ";M1
7486;2016-07-01 00:00:00.000;K26330201T;"NISATEL SHPK - VLORE - ";
7487;2016-07-01 00:00:00.000;K01711004F;"ABC NEWS SHA - TIRANE - ";
7488;2016-07-01 00:00:00.000;K01711004F;"ABC NEWS SHA - TIRANE - ";
7489;2016-07-01 00:00:00.000;K01711004F;"ABC NEWS SHA - TIRANE - ";
7490;2016-07-01 00:00:00.000;L22410001S;"ATNA-AL - TIRANE - ";
7491;2016-07-01 00:00:00.000;K01814501G;"ALEKSI - DURRES - ";
7492;2016-07-01 00:00:00.000;K01814501G;"ALEKSI - DURRES - ";
7493;2016-07-01 00:00:00.000;K01814501G;"ALEKSI - DURRES - ";
7494;2016-07-01 00:00:00.000;L12804405J;"ARTAN KOCAJ - FIER - ";
7495;2016-07-04 00:00:00.000;L16628202D;"EXSELENT TIRES - VLORE - ";
7496;2016-07-03 00:00:00.000;J92211003P;"DAJTI KONSTRUKSION - TIRANE - ";
7499;2016-07-01 00:00:00.000;K72410014H;"O S SH - TIRANE - ";
7500;2016-07-01 00:00:00.000;K4161418O;"CELESI DESIGN&PUBLICITET - TIRANE - ";
7501;2016-07-01 00:00:00.000;K32712210C;"KUMRIA 1 - ELBASAN - ";
7502;2016-07-01 00:00:00.000;K01814501G;"ALEKSI - DURRES - ";
7503;2016-07-02 00:00:00.000;K11308001B;"ABCOM - TIRANE - ";
7504;2016-07-10 00:00:00.000;K01814501G;"ALEKSI - DURRES - ";
7505;2016-07-31 00:00:00.000;K01814501G;"ALEKSI - DURRES - ";
7506;2016-07-30 00:00:00.000;K77219205A;"ELDO 07 - VLORE - ";
7507;2016-07-06 00:00:00.000;J62903255K;"KREKA SHPK - ELBASAN - ";
7508;2016-07-11 00:00:00.000;K4161418O;"CELESI DESIGN&PUBLICITET - TIRANE - ";
7509;2016-07-14 00:00:00.000;K76409201O;"LELI GROUP SHPK - VLORE - ";
7510;2016-07-18 00:00:00.000;K76409201O;"LELI GROUP SHPK - VLORE - ";
7511;2016-07-27 00:00:00.000;K11308001B;"ABCOM - TIRANE - ";
7512;2016-07-29 00:00:00.000;K11308001B;"ABCOM - TIRANE - ";
7513;2016-07-06 00:00:00.000;j62904311h;"hard & soft - elbasan - ";
7514;2016-07-16 00:00:00.000;J92211003P;"DAJTI KONSTRUKSION - TIRANE - ";
7515;2016-07-16 00:00:00.000;K71822801C;"DIMAPAK SHPK - TIRANE - ";
7516;2016-07-16 00:00:00.000;J61826012K;"ALBA ELETTRICA - TIRANE - ";
7517;2016-07-20 00:00:00.000;J92211003P;"DAJTI KONSTRUKSION - TIRANE - ";
7518;2016-07-21 00:00:00.000;k81607050q;"megatek - tirane - ";
7519;2016-07-22 00:00:00.000;K36608208V;"COLOMBO SHPK - TIRANE - ";
7520;2016-07-22 00:00:00.000;L52310028T;"4 K TRADING - TIRANE - ";
7521;2016-07-23 00:00:00.000;K26307202E;"AULONA POL 1 SHPK - VLORE - ";
7522;2016-07-25 00:00:00.000;L52310028T;"4 K TRADING ALBANIA - TIRANE - ";
7523;2016-07-27 00:00:00.000;L52310028T;"4 K TRADING ALBANIA - TIRANE - ";
7524;2016-07-01 00:00:00.000;K72410014H;"O S SH - TIRANE - ";
7525;2016-07-29 00:00:00.000;J62426002Q;"INFOSOFT OFFICE SHPK - TIRANE - ";
7526;2016-07-29 00:00:00.000;J61820049L;"ITD SHPK - TIRANE - ";
7527;2016-07-29 00:00:00.000;K4161418O;"CELESI DESIGN&PUBLICITET - TIRANE - ";
7528;2016-07-29 00:00:00.000;K4161418O;"CELESI DESIGN&PUBLICITET - TIRANE - ";
7529;2016-07-30 00:00:00.000;K26330201T;"NISATEL SHPK - VLORE - ";
7530;2016-07-31 00:00:00.000;J97426201K;"FJORTES.shpk - VLORE - ";M1
7535;2016-07-31 00:00:00.000;K83410201O;"BAHITI G SHPK - ELBASAN - ";
6966;2015-12-02 00:00:00.000;J62903255K;"KREKA SHPK - ELBASAN - ";
6967;2015-12-01 00:00:00.000;K01814501G;"ALEKSI - DURRES - ";
7536;2016-07-19 00:00:00.000;K11308001B;"ABCOM - TIRANE - ";
7537;2016-07-31 00:00:00.000;K32712210C;"KUMRIA 1 - ELBASAN - ";
7539;2016-07-27 00:00:00.000;K71822801C;"DIMAPAK - TIRANE - ";
7543;2016-08-11 00:00:00.000;;"SAMSUNG ELECTRONICS POLAND MANUFACT - POLONI - ";M1
7544;2016-08-12 00:00:00.000;GB11923472;"GPSG - TURQI - ";M1
7545;2016-08-12 00:00:00.000;;"RIVA SRL - ITALI - ";M1
7546;2016-08-12 00:00:00.000;;"SI EL SRL - ITALI - ";M1
7547;2016-08-12 00:00:00.000;;"DISTANTE ELETTRODOMESTICI S.r.l - ITALI, 72623,Mesagne Brindisi - ";M1
7548;2016-08-12 00:00:00.000;;"SGM DISTRIBUZIONE SRL - FORLI ITALI - ";M1
7549;2016-08-13 00:00:00.000;;"HEFEI  MEILING CO.,LTD - KINE, Meiling Park,Feidon  - ";M1
7555;2016-08-01 00:00:00.000;K01711004F;"ABC NEWS SHA - TIRANE - ";
7551;2016-08-16 00:00:00.000;;"TERMIKEL DIS TICARET A.S - TURQI - ";M1
7552;2016-08-17 00:00:00.000;;"SAMSUNG ELECTRONICS POLAND MANUFACT - POLONI - ";M1
7553;2016-08-19 00:00:00.000;;"TECHNOMARKET BULGARIA - BULLGARI - ";M1
7556;2016-08-01 00:00:00.000;K11715005L;"VODAFONE ALBANIA SHA - TIRANE - ";
7557;2016-08-01 00:00:00.000;L12510401V;"BAJRAKTARI CONSTRUCTION SHPK - FIER - ";
7558;2016-08-01 00:00:00.000;J62903255K;"KREKA SHPK - ELBASAN - ";
7559;2016-08-01 00:00:00.000;K32627418M;"KRASNIQI SA - FIER - ";
7560;2016-08-01 00:00:00.000;;"HEFEI  MEILING CO.,LTD - KINE, Meiling Park,Feidon  - ";
7561;2016-08-04 00:00:00.000;K11308001B;"ABCOM - TIRANE - ";
7562;2016-08-04 00:00:00.000;L51907030J;"TOROS TRANSPORT - TIRANE - ";
7563;2016-08-08 00:00:00.000;L37222206U;"ERJON JAUPI - VLORE - ";
7633;2016-09-06 00:00:00.000;;"HEFEI  MEILING CO.,LTD - KINE, Meiling Park,Feidon  - ";M1
7640;2016-09-09 00:00:00.000;;"ATMACA ELEKTRONIK SAN VE TIC - TURQI - ";M1
7641;2016-09-09 00:00:00.000;;"NAVONI DAYANIKLI (ARDA ORNER) - TURQI - ";M1
7642;2016-09-10 00:00:00.000;;"SI EL SRL - ITALI - ";M1
7643;2016-09-10 00:00:00.000;;"SMEG - 42016 GUASTELLA RE - ";M1
7644;2016-09-09 00:00:00.000;J61820049L;"ITD SHPK - TIRANE - ";M1
7645;2016-09-09 00:00:00.000;J61820049L;"ITD SHPK - TIRANE - ";M1
7646;2016-09-08 00:00:00.000;J61820049L;"ITD SHPK - TIRANE - ";M1
7658;2016-09-10 00:00:00.000;L01626012A;"ORBICO SHPK - TIRANE - ";M1
7659;2016-09-10 00:00:00.000;L01626012A;"ORBICO SHPK - TIRANE - ";M1
7660;2016-09-13 00:00:00.000;;"SAMSUNG ELECTRONICS POLAND MANUFACT - POLONI - ";M1
7661;2016-09-14 00:00:00.000;;"BANDINI SCALDABAGNI SPA - ITALI - ";M1
7662;2016-09-14 00:00:00.000;;"SI EL SRL - ITALI - ";M1
7663;2016-09-14 00:00:00.000;;"DISTANTE ELETTRODOMESTICI S.r.l - ITALI, 72623,Mesagne Brindisi - ";M1
7664;2016-09-14 00:00:00.000;;"TREVI SPA - ITALI - ";M1
7665;2016-09-16 00:00:00.000;;"NAVONI DAYANIKLI (ARDA ORNER) - TURQI - ";M1
7666;2016-09-13 00:00:00.000;K46811001V;"ALBAMEDIA - TIRANE - ";M1
7667;2016-09-19 00:00:00.000;;"SAMSUNG ELECTRONICS POLAND MANUFACT - POLONI - ";M1
7668;2016-09-13 00:00:00.000;J61820049L;"ITD SHPK - TIRANE - ";M1
7669;2016-09-21 00:00:00.000;J61820049L;"ITD SHPK - TIRANE - ";M1
7795;2016-10-18 00:00:00.000;;"MIDEA ELECTRIC TRADING SUNGAPORE - CO PTE LTD 50 RAFFLES PLACE 38 - ";M1
7796;2016-10-18 00:00:00.000;;"MIDEA ELECTRIC TRADING SUNGAPORE - CO PTE LTD 50 RAFFLES PLACE 38 - ";M1
7797;2016-10-18 00:00:00.000;K46811001V;"ALBAMEDIA - TIRANE - ";M1
7798;2016-10-18 00:00:00.000;J61820049L;"ITD SHPK - TIRANE - ";M1
7799;2016-10-18 00:00:00.000;J61820049L;"ITD SHPK - TIRANE - ";M1
7800;2016-10-18 00:00:00.000;J61820049L;"ITD SHPK - TIRANE - ";M1
7801;2016-10-18 00:00:00.000;J61820049L;"ITD SHPK - TIRANE - ";M1
7802;2016-10-18 00:00:00.000;J61820049L;"ITD SHPK - TIRANE - ";M1
7803;2016-10-20 00:00:00.000;L22126015N;"JUR & CHRIS SHPK - TIRANE ,VORE - ";M1
7804;2016-10-21 00:00:00.000;;"DISTANTE ELETTRODOMESTICI S.r.l - ITALI, 72623,Mesagne Brindisi - ";M1
7805;2016-10-21 00:00:00.000;J61820049L;"ITD SHPK - TIRANE - ";M1
7807;2016-10-22 00:00:00.000;;"TWENTY SRL - ITALI - ";M1
7808;2016-10-22 00:00:00.000;;"SGM DISTRIBUZIONE SRL - FORLI ITALI - ";M1
7809;2016-10-22 00:00:00.000;;"ELTRONIC S.R.L (DCG) -  - ";M1
7810;2016-10-22 00:00:00.000;;"TIS ITALIA SRL - VIALE LOMBARDIA 44 - ";M1
7811;2016-10-22 00:00:00.000;;"SI EL SRL - ITALI - ";M1
7812;2016-10-22 00:00:00.000;;"BENTY. s.r.l - ITALI - ";M1
7813;2016-10-22 00:00:00.000;;"SMEG - 42016 GUASTELLA RE - ";M1
7814;2016-10-01 00:00:00.000;;"XHUVI SHARXHI - TIRANE - ";
7815;2016-10-01 00:00:00.000;;"FATMIR HABILAJ - KAVAJE - ";
7816;2016-10-24 00:00:00.000;K72217008P;"SALI ELEKTRIK - TIRANE - ";M1
7817;2016-10-01 00:00:00.000;;"BASHKIA KAVAJE - KAVAJE - ";
7818;2016-10-25 00:00:00.000;J61820049L;"ITD SHPK - TIRANE - ";M1
7819;2016-10-25 00:00:00.000;J61820049L;"ITD SHPK - TIRANE - ";M1
7820;2016-10-01 00:00:00.000;K91314024I;"PAJTONI SHPK - TIRANE - ";
7821;2016-10-01 00:00:00.000;K91314024I;"PAJTONI SHPK - TIRANE - ";
7822;2016-10-01 00:00:00.000;K91314024I;"PAJTONI SHPK - TIRANE - ";
7823;2016-10-01 00:00:00.000;K91314024I;"PAJTONI SHPK - TIRANE - ";
7824;2016-10-01 00:00:00.000;K91314024I;"PAJTONI SHPK - TIRANE - ";
7825;2016-10-01 00:00:00.000;K91314024I;"PAJTONI SHPK - TIRANE - ";
7826;2016-10-01 00:00:00.000;K91314024I;"PAJTONI SHPK - TIRANE - ";
7827;2016-10-01 00:00:00.000;K91314024I;"PAJTONI SHPK - TIRANE - ";
7828;2016-10-01 00:00:00.000;K91314024I;"PAJTONI SHPK - TIRANE - ";
7829;2016-10-26 00:00:00.000;;"TERMIKEL DIS TICARET A.S - TURQI - ";M1
7830;2016-10-21 00:00:00.000;K92922201T;"SITEL MOBILE SHPK - ELBASAN - ";M1
7837;2016-10-27 00:00:00.000;;"ATMACA ELEKTRONIK SAN VE TIC - TURQI - ";M1
7838;2016-10-27 00:00:00.000;;"NAVONI DAYANIKLI (ARDA ORNER) - TURQI - ";M1
7839;2016-10-27 00:00:00.000;;"DISTANTE ELETTRODOMESTICI S.r.l - ITALI, 72623,Mesagne Brindisi - ";M1
7840;2016-10-27 00:00:00.000;K46811001V;"ALBAMEDIA - TIRANE - ";M1
7841;2016-10-28 00:00:00.000;;"CONSUMER ELECTRONICS SPA - ITALI - ";M1
7842;2016-10-28 00:00:00.000;;"CONSUMER ELECTRONICS SPA - ITALI - ";M1
7843;2016-10-29 00:00:00.000;;"ELTRONIC S.R.L (DCG) -  - ";M1
7844;2016-10-29 00:00:00.000;;"RIVA SRL - ITALI - ";M1
7845;2016-10-31 00:00:00.000;;"HOMA APPLIANCES CO LTD - KINE - ";M1
7831;2016-10-01 00:00:00.000;;"SHKELQIM HYSAJ  ( QERADHENES) - VLORE - ";
7832;2016-10-01 00:00:00.000;;"LLAMBRO BOCI QERADHENES - VLORE - ";
7833;2016-10-01 00:00:00.000;;"ILIRJAN LAMCE QERADHENES - VLORE - ";
7834;2016-10-01 00:00:00.000;;"ARDI XHAFERI - VLORE - ";
7836;2016-10-01 00:00:00.000;;"AFRIM NACI - VLORE - ";
7846;2016-10-31 00:00:00.000;;"HOMA APPLIANCES CO LTD - KINE - ";M1
7847;2016-10-31 00:00:00.000;;"HOMA APPLIANCES CO LTD - KINE - ";M1
7850;2016-10-01 00:00:00.000;;"KOSTIKA LAKO - TIRANE - ";
7851;2016-10-01 00:00:00.000;K12007002U;"TOP CHANNEL  SHPK - TIRANE - ";
7852;2016-10-01 00:00:00.000;K31602028G;"ARBEN MALI - TIRANE - ";M1
7853;2016-10-01 00:00:00.000;K11308001B;"ABCOM - TIRANE - ";
7854;2016-10-01 00:00:00.000;K11308001B;"ABCOM - TIRANE - ";
7855;2016-10-01 00:00:00.000;K11308001B;"ABCOM - TIRANE - ";
7856;2016-10-01 00:00:00.000;K46526058R;"DANI SECURITY SHPK - SHKODER - ";
7857;2016-10-01 00:00:00.000;K46526058R;"DANI SECURITY SHPK - SHKODER - ";
7858;2016-10-01 00:00:00.000;K36608208V;"COLOMBO SHPK - TIRANE - ";
7859;2016-10-01 00:00:00.000;K23323401N;"MYRTO SECURITY - FIER - ";
7860;2016-10-01 00:00:00.000;K97313202U;"TISA TOURS  (MIKEL ZINXHIRIA) - VLORE - ";
7861;2016-10-01 00:00:00.000;K71821013S;"DM CONSULTING SERVICES - TIRANE - ";
7862;2016-10-01 00:00:00.000;L12122018Q;"SHQIPTARJA.COM - TIRANE - ";
7863;2016-10-01 00:00:00.000;J92211003P;"DAJTI KONSTRUKSION - TIRANE - ";
7864;2016-10-01 00:00:00.000;L37222206U;"ERJON JAUPI - VLORE - ";
7865;2016-10-01 00:00:00.000;K32712210C;"KUMRIA 1 - ELBASAN - ";
7866;2016-10-02 00:00:00.000;K11308001B;"ABCOM - TIRANE - ";
